Datetime,ID
16/10/2018,142.9
15/10/2018,142.65
14/10/2018,142.65
13/10/2018,142.65
12/10/2018,142.55
11/10/2018,142.65
10/10/2018,143
09/10/2018,143.05
08/10/2018,143.25
07/10/2018,143.25
06/10/2018,143.25
05/10/2018,144
04/10/2018,143.4
03/10/2018,142.5
02/10/2018,142.5
01/10/2018,142.5
30/09/2018,142.5
29/09/2018,142.5
28/09/2018,142.6
27/09/2018,142.6
26/09/2018,141.5
25/09/2018,141.75
24/09/2018,141
23/09/2018,141
22/09/2018,141
21/09/2018,141.05
20/09/2018,140.25
19/09/2018,140.2
18/09/2018,140
17/09/2018,140
16/09/2018,140
15/09/2018,140
14/09/2018,139.7
13/09/2018,139.3
12/09/2018,139.3
11/09/2018,139.3
10/09/2018,139.3
09/09/2018,139.3
08/09/2018,139.3
07/09/2018,139.2
06/09/2018,139
05/09/2018,139
04/09/2018,139.95
03/09/2018,140.7
02/09/2018,140.7
01/09/2018,140.7
31/08/2018,141.7
30/08/2018,142.25
29/08/2018,142.8
28/08/2018,143.5
27/08/2018,142.1
26/08/2018,142.1
25/08/2018,142.1
24/08/2018,141.95
23/08/2018,141.95
22/08/2018,141.95
21/08/2018,0
20/08/2018,0
19/08/2018,0
18/08/2018,0
17/08/2018,142
16/08/2018,141
15/08/2018,141.8
14/08/2018,141.8
13/08/2018,141
12/08/2018,141
11/08/2018,141
10/08/2018,142
09/08/2018,142
08/08/2018,142.75
07/08/2018,142.55
06/08/2018,142.5
05/08/2018,142.5
04/08/2018,142.5
03/08/2018,142.5
02/08/2018,142.5
01/08/2018,141.95
31/07/2018,142.3
30/07/2018,142.3
29/07/2018,142.3
28/07/2018,0
27/07/2018,142.75
26/07/2018,142.75
25/07/2018,142.5
24/07/2018,142.5
23/07/2018,141
22/07/2018,141
21/07/2018,141
20/07/2018,136.3
19/07/2018,136.35
18/07/2018,136.85
17/07/2018,136.25
16/07/2018,136.75
15/07/2018,136.75
14/07/2018,136.75
13/07/2018,136.75
12/07/2018,137.5
11/07/2018,137
10/07/2018,138
09/07/2018,138
08/07/2018,138
07/07/2018,138
06/07/2018,137.7
05/07/2018,137.5
04/07/2018,137.5
03/07/2018,138.05
02/07/2018,139
01/07/2018,139
30/06/2018,139
29/06/2018,138.5
28/06/2018,139.75
27/06/2018,140
26/06/2018,139.75
25/06/2018,142
24/06/2018,142
23/06/2018,142
22/06/2018,142.85
21/06/2018,143.3
20/06/2018,143.8
19/06/2018,144
18/06/2018,144.9
17/06/2018,144.9
16/06/2018,144.9
15/06/2018,0
14/06/2018,145
13/06/2018,146.5
12/06/2018,146.7
11/06/2018,146.9
10/06/2018,146.9
09/06/2018,146.9
08/06/2018,146
07/06/2018,147
06/06/2018,144.2
05/06/2018,144
04/06/2018,144.05
03/06/2018,144.05
02/06/2018,144.05
01/06/2018,143.15
31/05/2018,143.1
30/05/2018,143.1
29/05/2018,141.55
28/05/2018,142
27/05/2018,142
26/05/2018,142
25/05/2018,141.6
24/05/2018,148.6
23/05/2018,148.25
22/05/2018,149.45
21/05/2018,150
20/05/2018,150
19/05/2018,150
